time,open,high,low,close,tick_volume,spread,real_volume,ema_20,ema_50,rsi,bb_upper,bb_middle,bb_lower,macd_line,macd_signal,macd_histogram
2025-12-22 05:00:00,4398.421,4409.574,4396.647,4400.118,16656,160,0,4400.118,4400.118,,,,,0.0,0.0,0.0
2025-12-22 06:00:00,4400.179,4419.891,4398.827,4419.107,14726,160,0,4401.926476190477,4400.862666666668,,,,,1.5147920227918803,0.3029584045583761,1.2118336182335043
2025-12-22 07:00:00,4419.073,4420.347,4410.521,4414.352,11503,160,0,4403.109859410431,4401.39166013072,,,,,2.305016063181938,0.7033699362830885,1.6016461268988496
2025-12-22 08:00:00,4414.28,4414.963,4406.138,4408.333,11696,160,0,4403.607301371343,4401.663869537359,,,,,2.4177213248749467,1.0462402140014602,1.3714811108734866
2025-12-22 09:00:00,4408.377,4414.93,4407.95,4411.051,8009,160,0,4404.316225050263,4402.0319923006,,,,,2.695291301131874,1.376050431427543,1.3192408697043312
2025-12-22 10:00:00,4411.137,4415.95,4406.275,4408.655,8208,160,0,4404.729441712143,4402.291718092733,,,,,2.690911182232412,1.639022581588517,1.051888600643895
2025-12-22 11:00:00,4408.694,4411.663,4406.18,4410.319,7288,160,0,4405.261780596701,4402.606513461646,,,,,2.7895545513883917,1.869128975548492,0.9204255758398996
2025-12-22 12:00:00,4410.206,4415.874,4406.157,4415.604,8937,160,0,4406.246753873205,4403.116218816091,,,,,3.2566448884599595,2.1466321581307857,1.1100127303291738
2025-12-22 13:00:00,4415.561,4427.531,4412.798,4423.526,20121,160,0,4407.892396361472,4403.916602391931,,,,,4.217440509944026,2.5607938284934337,1.6566466814505927
2025-12-22 14:00:00,4423.642,4429.428,4414.782,4419.179,27301,160,0,4408.967310993712,4404.515127788325,,,,,4.575369381363089,2.9637089390673648,1.6116604422957241
2025-12-22 15:00:00,4419.22,4435.505,4411.909,4431.837,24530,160,0,4411.145376613358,4405.58657375741,,,,,5.81341200847146,3.5336495529481837,2.279762455523276
2025-12-22 16:00:00,4431.808,4442.3,4428.043,4438.767,19642,160,0,4413.776007412086,4406.887766943394,,,,,7.269959229043707,4.2809114881672885,2.9890477408764182
2025-12-22 17:00:00,4438.73,4442.007,4432.127,4438.467,11839,160,0,4416.127530515697,4408.126168239732,,,,,8.304348541696527,5.085598898873137,3.21874964282339
2025-12-22 18:00:00,4438.526,4439.0,4429.535,4435.195,9216,160,0,4417.943479990392,4409.18769105386,72.70209047957987,,,,8.759116823213844,5.820302483741279,2.9388143394725654
2025-12-22 19:00:00,4435.223,4435.975,4428.793,4433.487,7930,160,0,4419.423815229402,4410.140605130179,71.12951635576118,,,,8.879347051489276,6.432111397290878,2.4472356541983977
2025-12-22 20:00:00,4433.449,4439.406,4431.723,4438.471,8226,160,0,4421.237832826601,4411.251601007428,64.90501554850782,,,,9.26993942918034,6.99967700366877,2.2702624255115698
2025-12-22 21:00:00,4438.523,4449.173,4438.523,4443.705,7304,160,0,4423.377563033591,4412.524283320861,72.4284426242032,,,,9.887845828464378,7.577310768627893,2.3105350598364858
2025-12-22 23:00:00,4447.549,4461.823,4446.949,4460.243,9152,160,0,4426.888557030392,4414.395605543573,84.17109905734902,,,,11.578549180285336,8.37755845095938,3.200990729325955
2025-12-23 00:00:00,4460.236,4470.591,4458.033,4470.532,9111,160,0,4431.04507540845,4416.597032777158,85.60585199995195,,,,13.59199996384541,9.420446753536588,4.171553210308822
2025-12-23 01:00:00,4470.546,4490.817,4469.756,4486.684,25622,160,0,4436.344020607646,4419.345541295701,90.10412919009534,4475.132323959565,4430.3816,4385.6308760404345,16.303073939981005,10.796972190825471,5.506101749155533
2025-12-23 02:00:00,4486.777,4497.785,4481.101,4493.484,14924,160,0,4441.785923406917,4422.252931833124,90.60037688319589,4485.61022676818,4435.0499,4384.48957323182,18.783794873535044,12.394336727367385,6.389458146167659
2025-12-23 03:00:00,4493.446,4496.562,4483.12,4486.863,13546,160,0,4446.078978320545,4424.786659996531,84.34003180569638,4493.389399457844,4438.4377,4383.486000542157,19.98514836992581,13.91249905587907,6.072649314046739
2025-12-23 04:00:00,4486.824,4488.419,4478.738,4482.547,9204,160,0,4449.552123242398,4427.051771369216,79.46659477378682,4498.928197143985,4441.847449999999,4384.766702856014,20.3543324668708,15.200865738077418,5.153466728793383
2025-12-23 05:00:00,4482.493,4485.579,4474.872,4475.332,13427,160,0,4452.007349600265,4428.945113668463,77.2542395915239,4501.859016041009,4445.1974,4388.535783958991,19.83606550616605,16.127905691695144,3.708159814470907
2025-12-23 06:00:00,4475.293,4481.525,4469.518,4481.477,12708,160,0,4454.813982971668,4431.005187642249,75.71914117549528,4505.19841344828,4448.7187,4392.238986551721,19.694163294716418,16.8411572122994,2.853006082417018
2025-12-23 07:00:00,4481.395,4489.679,4478.294,4486.692,9201,160,0,4457.849984593414,4433.188984205299,75.27983204802261,4508.221919606283,4452.620550000001,4397.019180393718,19.774562835094912,17.427838336858503,2.3467244982364086
2025-12-23 08:00:00,4486.656,4493.27,4484.732,4489.931,9861,160,0,4460.905319394041,4435.414161295287,76.33022265880832,4510.833454326265,4456.60115,4402.368845673735,19.87058455094484,17.91638757967577,1.95419697126907
2025-12-23 09:00:00,4489.881,4491.162,4478.199,4480.43,12132,160,0,4462.764812785084,4437.179488303315,71.75659166770936,4511.442849274156,4459.84245,4408.242050725844,18.96145530209924,18.125401124160465,0.8360541779387738
2025-12-23 10:00:00,4480.391,4487.636,4479.548,4484.302,8637,160,0,4464.815973472219,4439.02742993848,73.94200959282348,4512.600577305753,4462.88125,4413.161922694248,18.341967083748386,18.16871431607805,0.1732527676703377
